DRIVER_ID,DRIVER,DRIVER_CODE,DOB,NATIONALITY
1,Lewis Hamilton,HAM,07/01/1985,British
3,Nico Rosberg,ROS,27/06/1985,German
4,Fernando Alonso,ALO,29/07/1981,Spanish
8,Kimi Räikkönen,RAI,17/10/1979,Finnish
9,Robert Kubica,KUB,07/12/1984,Polish
13,Felipe Massa,MAS,25/04/1981,Brazilian
16,Adrian Sutil,SUT,11/01/1983,German
18,Jenson Button,BUT,19/01/1980,British
20,Sebastian Vettel,VET,03/07/1987,German
154,Romain Grosjean,GRO,17/04/1986,French
155,Kamui Kobayashi,KOB,13/09/1986,Japanese
807,Nico Hülkenberg,HUL,19/08/1987,German
813,Pastor Maldonado,MAL,09/03/1985,Venezuelan
815,Sergio Pérez,PER,26/01/1990,Mexican
817,Daniel Ricciardo,RIC,01/07/1989,Australian
818,Jean-Éric Vergne,VER,25/04/1990,French
820,Max Chilton,CHI,21/04/1991,British
821,Esteban Gutiérrez,GUT,05/08/1991,Mexican
822,Valtteri Bottas,BOT,28/08/1989,Finnish
824,Jules Bianchi,BIA,03/08/1989,French
825,Kevin Magnussen,MAG,05/10/1992,Danish
826,Daniil Kvyat,KVY,26/04/1994,Russian
827,André Lotterer,LOT,19/11/1981,German
828,Marcus Ericsson,ERI,02/09/1990,Swedish
829,Will Stevens,STE,28/06/1991,British
830,Max Verstappen,VER,30/09/1997,Dutch
831,Felipe Nasr,NAS,21/08/1992,Brazilian
832,Carlos Sainz,SAI,01/09/1994,Spanish
833,Roberto Merhi,MER,22/03/1991,Spanish
834,Alexander Rossi,RSS,25/09/1991,American
835,Jolyon Palmer,PAL,20/01/1991,British
836,Pascal Wehrlein,WEH,18/10/1994,German
837,Rio Haryanto,HAR,22/01/1993,Indonesian
838,Stoffel Vandoorne,VAN,26/03/1992,Belgian
839,Esteban Ocon,OCO,17/09/1996,French
840,Lance Stroll,STR,29/10/1998,Canadian
841,Antonio Giovinazzi,GIO,14/12/1993,Italian
842,Pierre Gasly,GAS,07/02/1996,French
843,Brendon Hartley,HAR,10/11/1989,New Zealander
844,Charles Leclerc,LEC,16/10/1997,Monegasque
845,Sergey Sirotkin,SIR,27/08/1995,Russian
846,Lando Norris,NOR,13/11/1999,British
847,George Russell,RUS,15/02/1998,British
848,Alexander Albon,ALB,23/03/1996,Thai
849,Nicholas Latifi,LAT,29/06/1995,Canadian
850,Pietro Fittipaldi,FIT,25/06/1996,Brazilian
851,Jack Aitken,AIT,23/09/1995,British
852,Yuki Tsunoda,TSU,11/05/2000,Japanese
853,Nikita Mazepin,MAZ,02/03/1999,Russian
854,Mick Schumacher,MSC,22/03/1999,German
855,Guanyu Zhou,ZHO,30/05/1999,Chinese
