DRIVER,GRAND_PRIX,SEASON,STATUS_ID,DRIVER_STATUS
Lewis Hamilton,australian,2015,1,Finished
Lewis Hamilton,malaysian,2015,1,Finished
Lewis Hamilton,chinese,2015,1,Finished
Lewis Hamilton,bahrain,2015,1,Finished
Lewis Hamilton,spanish,2015,1,Finished
Lewis Hamilton,monaco,2015,1,Finished
Lewis Hamilton,canadian,2015,1,Finished
Lewis Hamilton,austrian,2015,1,Finished
Lewis Hamilton,british,2015,1,Finished
Lewis Hamilton,hungarian,2015,1,Finished
Lewis Hamilton,belgian,2015,1,Finished
Lewis Hamilton,italian,2015,1,Finished
Lewis Hamilton,singapore,2015,37,Throttle
Lewis Hamilton,japanese,2015,1,Finished
Lewis Hamilton,russian,2015,1,Finished
Lewis Hamilton,united-states,2015,1,Finished
Lewis Hamilton,mexican,2015,1,Finished
Lewis Hamilton,brazilian,2015,1,Finished
Lewis Hamilton,abu-dhabi,2015,1,Finished
Lewis Hamilton,australian,2016,1,Finished
Lewis Hamilton,bahrain,2016,1,Finished
Lewis Hamilton,chinese,2016,1,Finished
Lewis Hamilton,russian,2016,1,Finished
Lewis Hamilton,spanish,2016,4,Collision
Lewis Hamilton,monaco,2016,1,Finished
Lewis Hamilton,canadian,2016,1,Finished
Lewis Hamilton,european,2016,1,Finished
Lewis Hamilton,austrian,2016,1,Finished
Lewis Hamilton,british,2016,1,Finished
Lewis Hamilton,hungarian,2016,1,Finished
Lewis Hamilton,german,2016,1,Finished
Lewis Hamilton,belgian,2016,1,Finished
Lewis Hamilton,italian,2016,1,Finished
Lewis Hamilton,singapore,2016,1,Finished
Lewis Hamilton,malaysian,2016,5,Engine
Lewis Hamilton,japanese,2016,1,Finished
Lewis Hamilton,united-states,2016,1,Finished
Lewis Hamilton,mexican,2016,1,Finished
Lewis Hamilton,brazilian,2016,1,Finished
Lewis Hamilton,abu-dhabi,2016,1,Finished
Lewis Hamilton,australian,2017,1,Finished
Lewis Hamilton,chinese,2017,1,Finished
Lewis Hamilton,bahrain,2017,1,Finished
Lewis Hamilton,russian,2017,1,Finished
Lewis Hamilton,spanish,2017,1,Finished
Lewis Hamilton,monaco,2017,1,Finished
Lewis Hamilton,canadian,2017,1,Finished
Lewis Hamilton,azerbaijan,2017,1,Finished
Lewis Hamilton,austrian,2017,1,Finished
Lewis Hamilton,british,2017,1,Finished
Lewis Hamilton,hungarian,2017,1,Finished
Lewis Hamilton,belgian,2017,1,Finished
Lewis Hamilton,italian,2017,1,Finished
Lewis Hamilton,singapore,2017,1,Finished
Lewis Hamilton,malaysian,2017,1,Finished
Lewis Hamilton,japanese,2017,1,Finished
Lewis Hamilton,united-states,2017,1,Finished
Lewis Hamilton,mexican,2017,11,+1 Lap
Lewis Hamilton,brazilian,2017,1,Finished
Lewis Hamilton,abu-dhabi,2017,1,Finished
Lewis Hamilton,australian,2018,1,Finished
Lewis Hamilton,bahrain,2018,1,Finished
Lewis Hamilton,chinese,2018,1,Finished
Lewis Hamilton,azerbaijan,2018,1,Finished
Lewis Hamilton,spanish,2018,1,Finished
Lewis Hamilton,monaco,2018,1,Finished
Lewis Hamilton,canadian,2018,1,Finished
Lewis Hamilton,french,2018,1,Finished
Lewis Hamilton,austrian,2018,32,Fuel pressure
Lewis Hamilton,british,2018,1,Finished
Lewis Hamilton,german,2018,1,Finished
Lewis Hamilton,hungarian,2018,1,Finished
Lewis Hamilton,belgian,2018,1,Finished
Lewis Hamilton,italian,2018,1,Finished
Lewis Hamilton,singapore,2018,1,Finished
Lewis Hamilton,russian,2018,1,Finished
Lewis Hamilton,japanese,2018,1,Finished
Lewis Hamilton,united-states,2018,1,Finished
Lewis Hamilton,mexican,2018,1,Finished
Lewis Hamilton,brazilian,2018,1,Finished
Lewis Hamilton,abu-dhabi,2018,1,Finished
Lewis Hamilton,australian,2019,1,Finished
Lewis Hamilton,bahrain,2019,1,Finished
Lewis Hamilton,chinese,2019,1,Finished
Lewis Hamilton,azerbaijan,2019,1,Finished
Lewis Hamilton,spanish,2019,1,Finished
Lewis Hamilton,monaco,2019,1,Finished
Lewis Hamilton,canadian,2019,1,Finished
Lewis Hamilton,french,2019,1,Finished
Lewis Hamilton,austrian,2019,1,Finished
Lewis Hamilton,british,2019,1,Finished
Lewis Hamilton,german,2019,1,Finished
Lewis Hamilton,hungarian,2019,1,Finished
Lewis Hamilton,belgian,2019,1,Finished
Lewis Hamilton,italian,2019,1,Finished
Lewis Hamilton,singapore,2019,1,Finished
Lewis Hamilton,russian,2019,1,Finished
Lewis Hamilton,japanese,2019,1,Finished
Lewis Hamilton,mexican,2019,1,Finished
Lewis Hamilton,united-states,2019,1,Finished
Lewis Hamilton,brazilian,2019,1,Finished
Lewis Hamilton,abu-dhabi,2019,1,Finished
Lewis Hamilton,austrian,2020,1,Finished
Lewis Hamilton,styrian,2020,1,Finished
Lewis Hamilton,hungarian,2020,1,Finished
Lewis Hamilton,british,2020,1,Finished
Lewis Hamilton,70th-anniversary,2020,1,Finished
Lewis Hamilton,spanish,2020,1,Finished
Lewis Hamilton,belgian,2020,1,Finished
Lewis Hamilton,italian,2020,1,Finished
Lewis Hamilton,tuscan,2020,1,Finished
Lewis Hamilton,russian,2020,1,Finished
Lewis Hamilton,pries-der-eifel,2020,1,Finished
Lewis Hamilton,portuguese,2020,1,Finished
Lewis Hamilton,emilia-romagna,2020,1,Finished
Lewis Hamilton,turkish,2020,1,Finished
Lewis Hamilton,bahrain,2020,1,Finished
Lewis Hamilton,abu-dhabi,2020,1,Finished
Lewis Hamilton,qatar,2021,1,Finished
Lewis Hamilton,bahrain,2021,1,Finished
Lewis Hamilton,emilia-romagna,2021,1,Finished
Lewis Hamilton,portuguese,2021,1,Finished
Lewis Hamilton,spanish,2021,1,Finished
Lewis Hamilton,monaco,2021,1,Finished
Lewis Hamilton,azerbaijan,2021,1,Finished
Lewis Hamilton,styrian,2021,1,Finished
Lewis Hamilton,french,2021,1,Finished
Lewis Hamilton,austrian,2021,1,Finished
Lewis Hamilton,british,2021,1,Finished
Lewis Hamilton,hungarian,2021,1,Finished
Lewis Hamilton,belgian,2021,1,Finished
Lewis Hamilton,dutch,2021,1,Finished
Lewis Hamilton,italian,2021,4,Collision
Lewis Hamilton,russian,2021,1,Finished
Lewis Hamilton,turkish,2021,1,Finished
Lewis Hamilton,united-states,2021,1,Finished
Lewis Hamilton,mexico-city,2021,1,Finished
Lewis Hamilton,são-paulo,2021,1,Finished
Lewis Hamilton,saudi-arabia,2021,1,Finished
Lewis Hamilton,abu-dhabi,2021,1,Finished
Nico Rosberg,australian,2015,1,Finished
Nico Rosberg,malaysian,2015,1,Finished
Nico Rosberg,chinese,2015,1,Finished
Nico Rosberg,bahrain,2015,1,Finished
Nico Rosberg,spanish,2015,1,Finished
Nico Rosberg,monaco,2015,1,Finished
Nico Rosberg,canadian,2015,1,Finished
Nico Rosberg,austrian,2015,1,Finished
Nico Rosberg,british,2015,1,Finished
Nico Rosberg,hungarian,2015,1,Finished
Nico Rosberg,belgian,2015,1,Finished
Nico Rosberg,italian,2015,13,+3 Laps
Nico Rosberg,singapore,2015,1,Finished
Nico Rosberg,japanese,2015,1,Finished
Nico Rosberg,russian,2015,37,Throttle
Nico Rosberg,united-states,2015,1,Finished
Nico Rosberg,mexican,2015,1,Finished
Nico Rosberg,brazilian,2015,1,Finished
Nico Rosberg,abu-dhabi,2015,1,Finished
Nico Rosberg,australian,2016,1,Finished
Nico Rosberg,bahrain,2016,1,Finished
Nico Rosberg,chinese,2016,1,Finished
Nico Rosberg,russian,2016,1,Finished
Nico Rosberg,spanish,2016,4,Collision
Nico Rosberg,monaco,2016,1,Finished
Nico Rosberg,canadian,2016,1,Finished
Nico Rosberg,european,2016,1,Finished
Nico Rosberg,austrian,2016,1,Finished
Nico Rosberg,british,2016,1,Finished
Nico Rosberg,hungarian,2016,1,Finished
Nico Rosberg,german,2016,1,Finished
Nico Rosberg,belgian,2016,1,Finished
Nico Rosberg,italian,2016,1,Finished
Nico Rosberg,singapore,2016,1,Finished
Nico Rosberg,malaysian,2016,1,Finished
Nico Rosberg,japanese,2016,1,Finished
Nico Rosberg,united-states,2016,1,Finished
Nico Rosberg,mexican,2016,1,Finished
Nico Rosberg,brazilian,2016,1,Finished
Nico Rosberg,abu-dhabi,2016,1,Finished
Fernando Alonso,malaysian,2015,132,ERS
Fernando Alonso,chinese,2015,11,+1 Lap
